id,Year,Age,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,Pos,name
24,2001,28,AL,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Andy Abad
24,2003,30,AL,9,19,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.118,0.211,0.118,0.328,39,Andy Abad
24,2006,33,NL,5,5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,0.0,0.4,,Andy Abad
443,1987,21,NL,16,49,47.0,5.0,13.0,3.0,1.0,2.0,7.0,1.0,0.0,2.0,8.0,0.277,0.306,0.511,0.817,798,Shawn Abner
443,1988,22,NL,37,89,83.0,6.0,15.0,3.0,0.0,2.0,5.0,0.0,1.0,4.0,19.0,0.181,0.225,0.289,0.514,987,Shawn Abner
443,1989,23,NL,57,108,102.0,13.0,18.0,4.0,0.0,2.0,14.0,1.0,0.0,5.0,20.0,0.176,0.213,0.275,0.487,879,Shawn Abner
443,1990,24,NL,91,198,184.0,17.0,45.0,9.0,0.0,1.0,15.0,2.0,3.0,9.0,28.0,0.245,0.286,0.31,0.595,879,Shawn Abner
443,1991,25,MLB,94,230,216.0,27.0,42.0,10.0,2.0,3.0,14.0,1.0,2.0,11.0,43.0,0.194,0.236,0.301,0.537,89D,Shawn Abner
443,1992,26,AL,97,228,208.0,21.0,58.0,10.0,1.0,1.0,16.0,1.0,2.0,12.0,35.0,0.279,0.323,0.351,0.674,987D,Shawn Abner
258,1950,22,NL,102,398,372.0,46.0,109.0,16.0,1.0,8.0,55.0,2.0,,24.0,24.0,0.293,0.336,0.406,0.742,7O39,Joe Adcock
258,1951,23,NL,113,422,395.0,40.0,96.0,16.0,4.0,10.0,47.0,1.0,2.0,24.0,29.0,0.243,0.288,0.38,0.668,O7,Joe Adcock
258,1952,24,NL,117,403,378.0,43.0,105.0,22.0,4.0,13.0,52.0,1.0,4.0,23.0,38.0,0.278,0.321,0.46,0.781,7O3,Joe Adcock
258,1953,25,NL,157,640,590.0,71.0,168.0,33.0,6.0,18.0,80.0,3.0,2.0,42.0,82.0,0.285,0.334,0.453,0.787,3,Joe Adcock
258,1954,26,NL,133,562,500.0,73.0,154.0,27.0,5.0,23.0,87.0,1.0,4.0,44.0,58.0,0.308,0.365,0.52,0.885,3,Joe Adcock
258,1955,27,NL,84,324,288.0,40.0,76.0,14.0,0.0,15.0,45.0,0.0,2.0,31.0,44.0,0.264,0.339,0.469,0.807,3,Joe Adcock
